
Timestamp,Radiator,Room
2025-02-22 15:07:03,22,21
2025-02-22 15:07:18,22,21
2025-02-22 15:07:33,22,21
2025-02-22 15:07:48,22,21
2025-02-22 15:08:03,22,21
2025-02-22 15:08:18,22,22
2025-02-22 15:08:33,23,22
2025-02-22 15:08:48,25,22
2025-02-22 15:09:03,26,23
2025-02-22 15:09:18,27,23
2025-02-22 15:09:33,28,24
2025-02-22 15:09:48,29,24
2025-02-22 15:10:03,30,25
2025-02-22 15:10:18,32,25
2025-02-22 15:10:33,33,26
2025-02-22 15:10:48,34,27
2025-02-22 15:11:03,35,27
2025-02-22 15:11:18,36,28
2025-02-22 15:11:33,37,29
2025-02-22 15:11:48,38,29
2025-02-22 15:12:03,38,30
2025-02-22 15:12:18,38,30
2025-02-22 15:12:48,38,30
2025-02-22 15:13:18,31,38
2025-02-22 15:13:33,32,37
2025-02-22 15:13:48,32,36
2025-02-22 15:14:03,33,35
2025-02-22 15:14:18,33,35
2025-02-22 15:14:33,33,34
2025-02-22 15:14:48,33,33
2025-02-22 15:15:03,33,32
2025-02-22 15:15:18,33,32
2025-02-22 15:15:33,33,31
2025-02-22 15:15:48,32,30
2025-02-22 15:16:03,32,30
2025-02-22 15:16:18,32,29
2025-02-22 15:16:33,32,29
2025-02-22 15:16:48,31,28
2025-02-22 15:17:03,31,28
2025-02-22 15:17:18,31,27
2025-02-22 15:17:33,30,27
2025-02-22 15:17:48,30,27
2025-02-22 15:18:03,30,26
2025-02-22 15:18:18,29,26
2025-02-22 15:18:33,29,26
2025-02-22 15:18:48,29,25
2025-02-22 15:19:03,29,25
2025-02-22 15:19:18,28,25
2025-02-22 15:19:33,28,25
2025-02-22 15:19:48,28,25
2025-02-22 15:20:03,27,24
2025-02-22 15:20:18,27,24
2025-02-22 15:20:33,27,24
2025-02-22 15:20:48,27,24
2025-02-22 15:21:03,27,24
2025-02-22 15:21:18,26,23
2025-02-22 15:21:33,26,23
2025-02-22 15:21:48,26,23
2025-02-22 15:22:03,26,23
2025-02-22 15:22:18,26,23
2025-02-22 15:22:33,26,22
2025-02-22 15:22:48,25,22
2025-02-22 15:23:03,25,22
2025-02-22 15:23:18,25,22
2025-02-22 15:23:33,25,22
2025-02-22 15:23:48,25,22
2025-02-22 15:24:03,25,22
2025-02-22 15:24:18,25,22
2025-02-22 15:24:33,24,22
2025-02-22 15:24:48,24,22
2025-02-22 15:25:03,24,21
